timestamp,seq,rtt,delay,jitter,predicted_prob,prediction
1776183020.745708,0,37.265,0.000,0.000,0.8633,1
1776183020.817297,1,85.247,71.589,71.589,0.8564,1
1776183021.059669,2,300.062,242.372,170.783,0.8488,1
1776183021.336385,3,555.981,276.716,34.343,0.8399,1
1776183021.488429,4,674.938,152.045,124.671,0.8300,1
1776183021.663474,5,820.359,175.045,23.000,0.8170,1
1776183021.923907,6,1020.372,260.433,85.388,0.8021,1
1776183022.259694,7,1301.174,335.787,75.354,0.7828,1
1776183022.448119,8,1436.154,188.426,147.362,0.7539,1
1776183022.622481,9,1547.024,174.362,14.064,0.7047,1
1776183022.843508,10,1716.224,221.027,46.665,0.5928,1
1776183023.076708,11,1887.965,233.200,12.174,0.2390,0
1776183023.139161,12,1886.989,62.453,170.748,0.0395,1
1776183023.170820,14,1817.188,31.659,30.794,0.0062,0
1776183023.220143,15,1811.595,49.324,17.665,0.0029,0
1776183023.357135,16,1884.751,136.992,87.668,0.0023,0
1776183023.479685,17,1957.019,122.550,14.441,0.0021,0
1776183023.730840,18,2149.199,251.155,128.605,0.0020,1
1776183023.972610,20,2276.466,241.770,9.385,0.0020,0
1776183024.175710,21,2419.329,203.100,38.670,0.0020,0
1776183024.236565,22,2418.002,60.855,142.246,0.0020,1
1776183024.263075,23,2385.551,26.510,34.344,0.0020,0
1776183024.297875,24,2358.106,34.800,8.289,0.0020,0
1776183024.340787,25,2342.829,42.912,8.112,0.0020,0
1776183024.413591,26,2359.447,72.805,29.893,0.0020,0
1776183024.471066,27,2354.609,57.475,15.330,0.0020,0
1776183024.547830,28,2368.239,76.764,19.290,0.0020,0
1776183024.618504,29,2374.922,70.673,6.091,0.0020,0
1776183024.665679,30,2367.666,47.175,23.498,0.0020,0
1776183024.706871,31,2354.713,41.193,5.982,0.0020,0
1776183024.769327,32,2353.436,62.456,21.263,0.0020,0
1776183024.811521,33,2345.356,42.194,20.262,0.0020,0
1776183024.866561,34,2340.483,55.040,12.846,0.0020,0
1776183024.931854,35,2341.877,65.292,10.252,0.0020,0
1776183024.984356,36,2337.073,52.502,12.790,0.0020,0
1776183025.032983,37,2329.370,48.627,3.875,0.0020,0
1776183025.068059,39,2240.396,35.076,13.551,0.0020,0
1776183025.102645,40,2223.957,34.586,0.490,0.0020,0
1776183025.256804,41,2314.122,154.159,119.572,0.0020,1
1776183025.579520,42,2580.089,322.716,168.558,0.0020,1
1776183025.887947,43,2836.978,308.426,14.290,0.0020,0
1776183026.108508,45,2981.113,220.562,87.865,0.0020,0
1776183026.302723,47,3098.285,194.215,26.346,0.0020,0
1776183026.624483,48,3388.297,321.759,127.544,0.0020,1
1776183026.856191,49,3598.612,231.709,90.051,0.0020,0
1776183026.906115,50,3626.629,49.923,181.785,0.0020,1
1776183026.970103,51,3660.840,63.988,14.065,0.0020,0
1776183027.003141,52,3661.812,33.038,30.950,0.0020,0
1776183027.040655,53,3668.226,37.515,4.477,0.0020,0
1776183027.068594,54,3674.692,27.938,9.576,0.0020,0
1776183027.107188,55,3681.789,38.594,10.656,0.0020,0
1776183027.173636,56,3725.283,66.448,27.854,0.0020,0
1776183027.567549,57,4087.864,393.913,327.465,0.0020,1
1776183027.831135,59,4303.716,263.586,130.327,0.0020,1
1776183028.078309,60,4527.539,247.174,16.412,0.0020,0
1776183028.227657,61,4651.582,149.348,97.826,0.0020,1
1776183028.568652,62,4971.776,340.995,191.647,0.0020,1
1776183028.929743,64,5283.256,361.091,20.096,0.0020,0
1776183028.983705,65,5316.031,53.962,307.130,0.0020,1
1776183029.006786,66,5310.863,23.082,30.880,0.0020,0
1776183029.029285,67,5298.445,22.499,0.583,0.0020,0
1776183029.065126,69,5261.638,35.841,13.342,0.0020,0
1776183029.132196,70,5270.725,67.070,31.229,0.0020,0
1776183029.181990,71,5258.190,49.793,17.277,0.0020,0
1776183029.227471,72,5243.001,45.481,4.312,0.0020,0
1776183029.303874,73,5290.686,76.403,30.921,0.0020,0
1776183029.363494,74,5315.168,59.620,16.782,0.0020,0
1776183029.423606,75,5344.037,60.111,0.491,0.0020,0
1776183029.477316,76,5365.743,53.710,6.401,0.0020,0
1776183029.528289,77,5384.737,50.974,2.736,0.0020,0
1776183029.594293,78,5418.582,66.003,15.030,0.0020,0
1776183029.620208,79,5422.864,25.915,40.088,0.0020,0
1776183029.794331,80,5573.099,174.124,148.209,0.0020,1
1776183029.902835,81,5651.579,108.504,65.619,0.0020,0
1776183030.062470,82,5756.585,159.635,51.131,0.0020,0
1776183030.312456,83,5971.669,249.985,90.350,0.0020,0
1776183030.584592,84,6222.373,272.136,22.151,0.0020,0
1776183030.867391,85,6472.313,282.799,10.663,0.0020,0
1776183031.049154,86,6630.560,181.763,101.036,0.0020,1
1776183031.318709,87,6875.429,269.555,87.792,0.0020,0
1776183031.618681,88,7147.615,299.973,30.418,0.0020,0
1776183031.886621,89,7394.516,267.940,32.033,0.0020,0
1776183031.937603,90,7424.987,50.981,216.959,0.0020,1
1776183031.999472,91,7451.642,61.870,10.889,0.0020,0
1776183032.061941,92,7493.783,62.468,0.598,0.0020,0
1776183032.124959,93,7535.572,63.019,0.551,0.0020,0
1776183032.171357,94,7552.853,46.397,16.622,0.0020,0
1776183032.300970,95,7651.343,129.613,83.216,0.0020,0
1776183032.602468,96,7923.405,301.498,171.885,0.0020,1
1776183032.771933,97,8065.062,169.465,132.034,0.0020,1
1776183032.983243,98,8245.090,211.310,41.846,0.0020,0
1776183033.187101,99,8417.774,203.858,7.452,0.0020,0
1776183033.453882,100,8662.609,266.781,62.923,0.0020,0
1776183033.664912,101,8853.391,211.030,55.751,0.0020,0
1776183033.794430,102,8953.596,129.518,81.512,0.0020,0
1776183034.101698,103,9235.137,307.268,177.750,0.0020,1
1776183034.256042,104,9358.809,154.344,152.924,0.0020,1
1776183034.300539,105,9368.686,44.497,109.847,0.0020,1
1776183034.358370,106,9399.658,57.830,13.333,0.0020,0
1776183034.405650,107,9421.294,47.280,10.550,0.0020,0
1776183034.473269,108,9464.907,67.619,20.339,0.0020,0
1776183034.533126,109,9500.144,59.858,7.761,0.0020,0
1776183034.566822,111,9485.236,33.695,26.162,0.0020,0
1776183034.627233,112,9524.588,60.411,26.716,0.0020,0
1776183034.674908,113,9549.104,47.675,12.736,0.0020,0
1776183034.710407,114,9559.530,35.499,12.176,0.0020,0
1776183034.780943,115,9609.255,70.537,35.038,0.0020,0
1776183034.814454,116,9619.820,33.510,37.027,0.0020,0
1776183034.861770,117,9636.279,47.316,13.806,0.0020,0
1776183034.920033,118,9663.229,58.263,10.947,0.0020,0
1776183034.971777,119,9680.676,51.744,6.519,0.0020,0
1776183035.007692,120,9657.328,35.915,15.830,0.0020,0
1776183035.050184,121,9644.401,42.492,6.577,0.0020,0
1776183035.091912,122,9623.222,41.728,0.763,0.0020,0
1776183035.130916,123,9599.148,39.005,2.724,0.0020,0
